Time,AreaNormed,Counts Bmal1,Counts Cry1
17,1.9522626509423802,118,9
17,0.7005203501923769,36,10
17,0.48861294425918284,30,7
17,0.47358094507797144,41,11
17,1.0080195955789055,50,16
17,1.312468658607305,42,9
17,0.9334579608053045,25,6
17,0.7251845041887335,25,13
17,1.2200875374256854,68,6
17,0.8820864684578635,25,7
17,1.1981816823082112,27,5
17,0.9865807540282264,28,18
17,0.9103845717708431,60,24
17,1.2006626918818093,37,13
17,0.8350786341251626,31,10
17,0.5887435718148057,24,7
17,1.2958313002902362,44,12
17,0.6001124333314695,37,17
17,0.9632300756884805,44,15
17,0.9581075206276988,59,6
17,1.4533024373438974,40,14
17,0.6338249751844777,36,6
17,1.1558585778174217,83,9
17,1.0615802140206978,19,23
17,0.7714626298233174,46,6
17,1.0878643213268742,53,7
17,1.1068221533039555,45,16
17,0.5369196600745322,17,4
17,1.140257405851679,86,10
17,1.089907505681602,36,11
17,1.069752951439609,38,10
17,0.7311681155132933,33,15
17,0.6179173255655257,22,8
17,0.9006064752160745,30,7
17,1.4658534269515109,92,18
17,0.7343934279589708,19,3
17,1.0142950903827124,49,3
17,0.6020096759465738,40,10
17,1.0531301872965022,48,12
17,1.2407966702782476,41,13
17,1.595157808257854,57,13
17,1.1968682066516005,49,18
17,0.7497027164454666,7,8
17,1.1370320934060016,44,7
17,1.4181158839206929,49,11
17,1.0004306251184882,34,5
17,0.47722948856855674,32,1
17,0.640684236946778,24,4
17,0.6546946439506255,49,6
17,0.9878942296848371,16,10
17,0.767084377634615,41,3
17,0.7923177044155029,41,12
17,1.0681621864777135,21,19
17,1.0061223529638013,70,15
17,1.2637095233991231,84,14
17,1.1806686735534018,53,19
17,0.9956145477109156,41,8
17,0.75583226950965,8,9
17,0.7799272507214753,37,9
17,0.9674623861375594,41,11
17,0.7749506374003169,32,12
17,1.9292038560818812,78,15
17,1.2193578287275684,40,10
17,0.7034391849848451,22,3
17,0.9500953191223734,31,8
17,0.7507243086228306,40,10
17,1.2491299436107444,49,12
17,0.8994535354730495,35,13
17,1.4908094644271144,47,9
17,0.6798112173398148,17,9
17,1.0451033916172145,5,26
17,0.9919660042203303,15,3
17,1.0013062755562288,28,9
17,1.1900089448893,27,21
17,1.4455675251438567,53,11
17,1.0554652551304768,46,15
17,0.8807583986272904,26,9
17,1.3537701709207306,50,9
17,1.2621041642632655,31,12
17,0.8064740531589738,29,14
17,1.1014369031118516,40,4
17,1.2965610089883532,48,19
17,1.0382295356809519,53,6
17,0.7140929319773541,15,5
17,0.44220347105893787,30,7
17,1.341642412358025,47,20
17,1.5903417308502812,54,13
17,1.4057108360527029,49,10
17,1.7319052182849908,110,76
17,1.7913035063117193,62,35
17,1.251465011444719,41,7
17,0.8441270219818141,16,5
17,1.1076978037416958,32,7
17,1.2934816382822991,36,14
17,1.2164243997611377,51,10
17,0.9296488814011334,35,12
17,0.9878942296848371,45,6
17,0.3546384272848908,10,2
17,0.8539051185365827,20,5
17,1.3991580519436118,89,21
17,1.2367248957427543,81,25
17,0.6875315353658932,13,4
17,0.8936012717141507,10,11
17,0.7983013157400628,52,15
17,0.5465518148896774,48,7
17,2.0882949464453624,86,18
17,1.0907831561193424,66,9
17,0.8460388587708808,40,7
17,0.6025934429050676,31,6
17,0.9948848390127986,37,16
17,0.7915879957173858,18,1
17,0.9051306691444002,39,10
17,0.4597164798137473,40,5
17,1.4338775918000213,25,23
17,1.0789472810358838,50,16
17,0.39842094917191434,37,6
17,0.4595705380741239,37,9
17,1.317124200101292,35,11
17,0.9141790570010518,47,5
17,1.0299108565224173,31,10
17,0.7667924941553682,39,10
17,1.1504587334513556,58,9
17,0.5448005140141964,31,9
17,1.486139328759165,62,23
17,1.2170081667196313,31,11
17,0.802548220363104,25,7
17,0.6932232632112063,31,10
17,0.749118949486973,37,5
17,0.97912313113347,40,6
17,1.1942412553383792,33,6
17,1.1989259851802907,33,9
17,0.7032932432452217,61,6
17,1.233806060950286,13,9
17,0.8826556412423948,28,11
17,0.524806495685789,43,4
17,0.8572617785479212,15,9
17,0.7464919981737516,26,9
17,0.7882313357060474,37,10
17,0.9603112408960123,18,6
17,0.9128801755184034,37,8
17,1.263140350614592,21,12
17,1.3952030307998173,54,25
17,0.7895448113626581,27,10
17,1.3814991014491789,47,11
17,1.1255026959757521,57,20
17,1.1873819935760788,54,18
17,1.1386374525418592,30,20
17,0.8863041847329801,44,17
17,1.04713198179798,27,13
17,0.9839392085410427,39,13
17,0.8663101664045727,14,9
17,1.244021982723925,33,12
17,0.99751179032602,22,7
17,0.9620625417714932,45,24
17,1.0682935340433748,113,9
17,0.9446808805823449,41,12
17,0.6684131674752263,37,6
17,0.9095089213331026,30,7
17,1.0300567982620408,44,20
17,0.7930474131136199,15,11
17,0.8991470578198404,16,6
17,0.9278975805256525,18,22
17,0.9965047923226185,18,20
17,1.1927964321161073,17,11
